Record ID,Store Name,Store Street Address,Additional Address,City,State,Zip Code,Zip4,County,Store Type,Latitude,Longitude,Incentive Program,Grantee Name
906455,Dollar Tree 6842,380 New Hartford Rd,Ste 1,Barkhamsted,CT,6063,3200,LITCHFIELD,Other,41.910923,-73.040527,,
1076196,Beacon Falls Xpress Mart LLC,25 N Main St,,Beacon Falls,CT,6403,1127,NEW HAVEN,Convenience Store,41.443348,-73.062935,,
1331151,AMG Retail I 525,109 Berlin Tpke,,Berlin,CT,6037,1503,HARTFORD,Convenience Store,41.646873,-72.730232,,
1331230,AMG Retail I 565,2005 Berlin Tpke,,Berlin,CT,6037,3617,HARTFORD,Convenience Store,41.597652,-72.754829,,
1540173,Berlin Foodland,152 New Britain Rd,,Berlin,CT,6037,1359,HARTFORD,Convenience Store,41.644447,-72.770874,,
1549570,Dollar General 25660,896 Farmington Ave,,Berlin,CT,6037,2217,HARTFORD,Other,41.633614,-72.764519,,
1296367,Dollar Tree 7150,227 Webster Square Rd,,Berlin,CT,6037,,HARTFORD,Other,41.631062,-72.743515,,
1524388,Family Dollar 13494,45 Chamberlain Hwy,,Berlin,CT,6037,1920,HARTFORD,Other,41.634014,-72.788445,,
1081448,Food Bag Citgo Quik Mart 540,1289 Farmington Ave,,Berlin,CT,6037,2303,HARTFORD,Convenience Store,41.626484,-72.752548,,
1590190,Friendly Mart,164 New Britain Rd,,Berlin,CT,6037,1354,HARTFORD,Convenience Store,41.64402,-72.771217,,
1462587,Gulf,301 Berlin Tpke,,Berlin,CT,6037,1505,HARTFORD,Convenience Store,41.641624,-72.732903,,
1526370,Madani's Market,1749 Berlin Tpke,,Berlin,CT,6037,,HARTFORD,Grocery Store,41.603687,-72.750427,,
1543671,Mobil,1376 Berlin Tpke,,Berlin,CT,6037,3230,HARTFORD,Convenience Store,41.61364,-72.745468,,
1034547,Ocean State Job Lot 313,207 Webster Square Rd,,Berlin,CT,6037,2328,HARTFORD,Other,41.630611,-72.743835,,
1348776,Shayona Grocery Llc,279 Berlin Tpke,,Berlin,CT,6037,1505,HARTFORD,Other,41.642738,-72.73246,,
767373,Stop & Shop 614,1135 Farmington Ave,Ste 1,Berlin,CT,6037,5200,HARTFORD,Supermarket,41.629116,-72.757355,,
1370753,Tindahan City,544 Deming Rd,Ste D,Berlin,CT,6037,1652,HARTFORD,Grocery Store,41.641338,-72.729958,,
836681,Walgreens 10119,980 Farmington Ave,,Berlin,CT,6037,2219,HARTFORD,Other,41.632256,-72.762207,,
958743,7 Eleven (25905G) 25905G,17 Stony Hill Rd,,Bethel,CT,6801,1032,FAIRFIELD,Convenience Store,41.416943,-73.398781,,
813683,Big Y World Class Market 82,83 Stony Hill Rd,,Bethel,CT,6801,3059,FAIRFIELD,Super Store,41.414589,-73.381584,,
1563396,Black Bull Meat Market,45 Grassy Plain St,,Bethel,CT,6801,2001,FAIRFIELD,Grocery Store,41.375114,-73.424767,,
437051,Caraluzzis Bethel Market,98 Greenwood Ave,,Bethel,CT,6801,2506,FAIRFIELD,Super Store,41.370857,-73.410095,,
615245,CVS PHARMACY  1109,7 Durant Ave,,Bethel,CT,6801,1906,FAIRFIELD,Other,41.378002,-73.417625,,
1076651,Dollar Tree 5009,83B Stony Hill Rd,Ste 102-104,Bethel,CT,6801,,FAIRFIELD,Other,41.41423,-73.379654,,
1081447,Food Bag Citgo Quik Mart 517,77 Greenwood Ave,,Bethel,CT,6801,2529,FAIRFIELD,Convenience Store,41.371777,-73.407776,,
1497515,Haris & Razi Petroluem,3335 Grassy Plain St,,Bethel,CT,6801,2001,FAIRFIELD,Convenience Store,41.36953,-73.422104,,
1493482,Henny Penny - Bethel 88,82 Stony Hill Rd,,Bethel,CT,6801,3037,FAIRFIELD,Convenience Store,41.414154,-73.377403,,
1482905,La Placita Of Bethel Llc,289 Greenwood Ave,,Bethel,CT,6801,2497,FAIRFIELD,Super Store,41.375492,-73.423233,,
1471197,M & F Quickmart Llc,295 Greenwood Ave,,Bethel,CT,6801,2402,FAIRFIELD,Convenience Store,41.374786,-73.423721,,
784147,TARGET 1528,7 Stony Hill Rd,,Bethel,CT,6801,1030,FAIRFIELD,Super Store,41.416325,-73.402351,,
1039872,Bloomfield Gas,47 Jerome Ave,,Bloomfield,CT,6002,2420,HARTFORD,Convenience Store,41.830029,-72.734711,,
962466,Cumberland Farms Inc 4746,6 Old Windsor Rd,,Bloomfield,CT,6002,1313,HARTFORD,Convenience Store,41.855522,-72.705994,,
590657,CVS PHARMACY  1102,341 Cottage Grove Rd,,Bloomfield,CT,6002,3148,HARTFORD,Other,41.817665,-72.713814,,
